,Model,Clusters,Noise Points,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI,AMI
0,K-means,7,0,0.14950793066322035,242.16096429539652,1.893007306708575,0.259668384055572,0.3136827653019503
1,Agglomerative,7,0,0.11542329103236365,194.79385558600106,2.0593264438636143,0.2902851639255605,0.36548162813499535
2,DBSCAN,27,1658,0.5614289228549483,149.34377548091342,0.5118851730402659,0.061338482205759604,0.30607729225926117
3,GMM,7,0,0.019292529982983597,77.48998142499228,3.887895729271681,0.12238851833960826,0.25091526354203
4,Spectral,7,0,0.01322020401917555,109.26039551103304,1.604508354575199,0.1682961759943693,0.4248056824651084
